month,smb,hml,umd,rf,rm,rmrf
1998m8,-0.04359075,-0.00925643,0.02358128,0.0058419982,-0.1038074594,-0.10964946
1998m9,-0.0449051,0.05127753,-0.04824716,0.005464878,-0.036998203,-0.04246308
1998m10,-0.03151061,0.01900481,-0.06108784,0.0053056924,0.069723283,0.06441759
1998m11,-0.0196054,-0.03440394,0.07332896,0.0050543972,0.0505354642,0.04548107
1998m12,-0.0101897,-0.06970478,0.07223305,0.0045436245,0.019181648,0.01463802
1999m1,0.02479726,-0.03487452,0.0145297,0.0042757817,0.0086370865,0.0043613
1999m2,0.03132584,0.01712497,-0.04105298,0.0040833142,0.0496953733,0.04561206
1999m3,0.04305475,0.02459211,-0.03902526,0.0039912774,0.0308667987,0.02687552
1999m4,0.03561436,0.1019367,-0.11019797,0.0039996439,0.0484364926,0.04443685
1999m5,0.01401033,0.00439692,0.01112649,0.0040247443,-0.0443848417,-0.04840959
1999m6,0.01161153,0.01128975,0.00556448,0.00384069,0.0214263158,0.01758563
1999m7,0.04907501,-0.00603185,0.0239819,0.0039578117,-0.0063795635,-0.01033738
1999m8,0.03187806,0.01279457,-0.02979126,0.0039494452,0.0088388338,0.00488939
1999m9,0.01727585,-0.05306601,0.01739799,0.0042172009,-0.0366129259,-0.04083013
1999m10,-0.00758361,-0.09705798,0.04598211,0.004259044,0.0286013847,0.02434234
1999m11,0.06421431,-0.17749656,0.15839447,0.0043008891,0.0642815817,0.05998069
1999m12,0.01350967,-0.04219196,0.10257912,0.004560367,0.051691689,0.04713132
2000m1,0.09790834,-0.10306514,0.070585,0.0046524559,-0.0815795646,-0.08623202
2000m2,0.07553458,-0.18607596,0.16044239,0.0047445533,0.0069238598,0.00217931
2000m3,-0.09995517,0.09889092,-0.17926813,0.0047445533,0.0442511222,0.03950657
2000m4,-0.06567943,0.11660999,-0.14914489,0.0048366591,-0.0328483776,-0.03768504
2000m5,-0.04354602,0.09164516,-0.1221183,0.004752926,0.0068231726,0.00207025
2000m6,0.04320674,0.00760184,0.03916488,0.0047445533,0.0053140697,0.00056952
2000m7,0.01822574,-0.04176324,0.04347947,0.0047445533,0.0118698951,0.00712534
2000m8,0.02790986,-0.04059832,0.06469922,0.0047864186,0.0517968652,0.04701045
2000m9,0.00037147,0.03674263,-0.01092599,0.0047110624,-0.0542717358,-0.0589828
2000m10,-0.05437952,0.11519734,-0.1063232,0.0047110624,0.0171453233,0.01243426
2000m11,-0.00505359,0.12287354,-0.10165718,0.0045938528,-0.0418970102,-0.04649086
2000m12,0.03022049,0.00298948,0.00774869,0.004560367,0.0149100623,0.0103497
2001m1,0.03780433,0.03916188,-0.05589112,0.0044682865,0.0161286862,0.0116604
2001m2,0.02586574,0.03819804,0.13279682,0.0043845841,-0.0507660604,-0.05515064
